,Source,Type Level 4,altLabels,Definition,Dimension,Type Level 1,Type Level 2,Type Level 3,unique_id,name,name+definition
569,http://data.europa.eu/esco/skill/33f39236-ab8c-4554-b80c-ca506cafde45,evaluate social work program's impact,"impact evaluation of social work program
impact evaluation of social work programme
evaluate social work programme's impact
evaluate impact of social work programme
evaluate social work program's impact
evaluate social work programmes' impact
evaluate impact of social work program
evaluate social work programs' impact
collect data to evaluate social work programme
impact evaluation of social work programmes
impact evaluation of social work programs",Gather data to allow the assessment of the impact of a program on a community.,skills,information skills,processing information,gathering information from physical or electronic sources,1357,evaluate social work program's impact,evaluate social work program's impact : gather data to allow the assessment of the impact of a program on a community.
571,http://data.europa.eu/esco/skill/3413584b-a4e9-4f8d-b836-c9bfee0ed80b,process data from railway control rooms,"assess data from railway control rooms
utilise data from railway control rooms
analyse data from railway control rooms
process data from railway control rooms
conduct railway control room data processing activities
evaluate data from railway control rooms
perform railway control room data processing activities
use control room data to ensure effective railway operations
process control room data to ensure effective railway operations
use control room data to inform railway operations","Interpret data generated in control rooms in railway stations. Utilise gathered information to identify faults in mechanical equipment, schedule changes, and identify delays and incidents that may occur; provide solutions in the event of incidents and mitigate the impact on operations.",skills,information skills,analysing and evaluating information and data,"evaluating systems, programmes, equipment and products",1358,process data from railway control rooms,"process data from railway control rooms : interpret data generated in control rooms in railway stations. utilise gathered information to identify faults in mechanical equipment, schedule changes, and identify delays and incidents that may occur; provide solutions in the event of incidents and mitigate the impact on operations."
573,http://data.europa.eu/esco/skill/343c4f94-e2b6-4dea-b4eb-e82e3c04fa22,apply extensive study of wine types,"employ extensive study of wine types from around the world
applying extensive study of wine types from around the world
administer an extensive study of wine types from around the world
implement extensive study of wine types from around the world
utilise extensive study of wine types from around the world
apply extensive study of wine types from around the world
apply an extensive study of wine types from around the world",Study wine types from around the world and advise companies and people in the industry. Analyse the types of wine being sold in different countries.,skills,information skills,"conducting studies, investigations and examinations",conducting academic or market research,1359,apply extensive study of wine types,apply extensive study of wine types : study wine types from around the world and advise companies and people in the industry. analyse the types of wine being sold in different countries.
574,http://data.europa.eu/esco/skill/345486f3-f265-4fc8-8ed0-5e96e768e333,process booking,"process accommodation booking
organize booking
accepting booking
process a booking
handle bookings, invoicing and issuing of tickets
process bookings
process booking
provide reservation services
take restaurant bookings and reservations",Execute a booking of a place according to client's requirement in advance and issue all appropriate documents.,skills,information skills,processing information,entering and transforming information,1360,process booking,process booking : execute a booking of a place according to client's requirement in advance and issue all appropriate documents.
575,http://data.europa.eu/esco/skill/3497ebe1-d417-4105-a68f-f7bbcac7ee5f,ICT hardware specifications,"ICT hardware requirements
ICT hardware specification
ICT hardware specifications
ICT hardware characteristics
an ICT hardware specification
ICT hardware stipulations
ICT hardware needs
specifications for ICT hardware","The characteristics, uses and operations of various hardware products such as printers, screens, and laptops.",knowledge,information and communication technologies (icts),information and communication technologies (icts),computer use,1361,ICT hardware specifications,"ICT hardware specifications : the characteristics, uses and operations of various hardware products such as printers, screens, and laptops."
576,http://data.europa.eu/esco/skill/34982b79-842f-4835-8598-d27793731d26,manage library users queries,"manage library users queries
handle library users queries
manage library user queries
managing library users queries","Search library databases and standard reference materials, including online sources, to help users should they have questions.",skills,information skills,managing information,managing information,1362,manage library users queries,"manage library users queries : search library databases and standard reference materials, including online sources, to help users should they have questions."
578,http://data.europa.eu/esco/skill/34d2a9d8-6cc3-4e67-a7b3-f921722605a3,assess the quality of sport competitions,"assess sport competitions' quality
assess quality of competitions in sport
evaluate the quality of sport competitions
examine the quality standards in sport competitions
assess the quality of sport competitions",Evaluate the quality of sport competitions and communicate judgements consistently.,skills,information skills,analysing and evaluating information and data,analysing and evaluating information and data,1363,assess the quality of sport competitions,assess the quality of sport competitions : evaluate the quality of sport competitions and communicate judgements consistently.
581,http://data.europa.eu/esco/skill/34dde545-1f08-4522-9a17-52e5f8da4594,prepare notices to airmen for airport terminal services,"develop advisory briefings on runway conditions
prepare notices to airmen for airport terminal services
prepare NOTAMs for ATS
create advisory briefings on airport maintenance works
prepare NOTAMs for airport terminal services
develop advisory briefings on airport maintenance works
prepare and file NOTAMs for ATS
prepare notices to airmen
prepare notices to airmen for ATS
produce advisory briefings on airport maintenance works
produce advisory briefings on runway conditions","Prepare Notices to Airmen (NOTAMs) for the airport terminal services (ATS) in reference to the maintenance works and activities in the airport. Report on runway conditions, snow removal operations, the need to close runways, and significant interruptions due to maintenance works.",skills,"communication, collaboration and creativity",presenting information,presenting research or technical information,1364,prepare notices to airmen for airport terminal services,"prepare notices to airmen for airport terminal services : prepare notices to airmen (notams) for the airport terminal services (ats) in reference to the maintenance works and activities in the airport. report on runway conditions, snow removal operations, the need to close runways, and significant interruptions due to maintenance works."
582,http://data.europa.eu/esco/skill/350e0620-569f-48d7-a6fd-56622936923c,evaluate restoration procedures,"assess conservation procedures
evaluate procedures to restore
evaluate procedures of restoration
evaluate restoration procedures
analyse restoration procedures","Evaluate the outcome of conservation and restoration procedures. Evaluate the degree of risk, success of treatment or activity and communicate the results.",skills,information skills,analysing and evaluating information and data,"evaluating systems, programmes, equipment and products",1365,evaluate restoration procedures,"evaluate restoration procedures : evaluate the outcome of conservation and restoration procedures. evaluate the degree of risk, success of treatment or activity and communicate the results."
584,http://data.europa.eu/esco/skill/3606bf22-1987-4356-b8c4-13e89d8f6c69,interpret extraction data,"processing of extraction data
interpreting extraction data
interpret extraction data
interpreting of extraction data
interpretation of extraction data
extraction data processing
extraction data interpretation
processing extraction data
process extraction data",Process and interpret extraction data and send feedback to the development teams. Apply learnings to concrete operational activities.,skills,information skills,analysing and evaluating information and data,analysing and evaluating information and data,1366,interpret extraction data,interpret extraction data : process and interpret extraction data and send feedback to the development teams. apply learnings to concrete operational activities.
587,http://data.europa.eu/esco/skill/3635b5e3-bdaa-449e-ade4-2973e0a3aba6,develop military intelligence records,"military intelligence records developing
develop military intelligence records
developing records of military intelligence
developing defence intelligence records
collating military intelligence records
collate military intelligence records
developing military intelligence records
military intelligence record developing
develop defence intelligence records
develop records of military intelligence",Analyse information and develop military intelligence records by putting multiple types of information with other sources of information in perspective.,skills,information skills,managing information,managing information,1367,develop military intelligence records,develop military intelligence records : analyse information and develop military intelligence records by putting multiple types of information with other sources of information in perspective.
588,http://data.europa.eu/esco/skill/363e30cf-b3ec-4b3f-b02c-ac77a5902d15,set import export strategies,"set import export strategies
setting an import export strategy
setting import export strategies
fix import export strategies
settle import export strategies
set an import export strategy
apply import export strategies
establish import export strategies","Develop and plan the strategies for import and export, according to the size of the company, the nature of its products, expertise and business conditions on the international markets.",skills,management skills,developing objectives and strategies,"developing financial, business or marketing plans",1368,set import export strategies,"set import export strategies : develop and plan the strategies for import and export, according to the size of the company, the nature of its products, expertise and business conditions on the international markets."
589,http://data.europa.eu/esco/skill/36500a31-3204-45b2-bf75-5cfe06d9cea2,use thermal management,"use thermal management
thermal management using
provide thermal management
provide thermal management solutions
thermal management solutions providing
providing thermal management
thermal management use
thermal management providing
providing thermal management solutions
using thermal management","Provide thermal management solutions for product design, system development and electronic devices used to protect high power systems and applications in demanding environments. These can be eventually collaborated with customers or other engineers.",skills,working with computers,setting up and protecting computer systems,protecting ict devices,1369,use thermal management,"use thermal management : provide thermal management solutions for product design, system development and electronic devices used to protect high power systems and applications in demanding environments. these can be eventually collaborated with customers or other engineers."
590,http://data.europa.eu/esco/skill/36570124-e778-4213-862e-c4059eb5c224,assess debtor's financial situation,"judge defaulter's financial situation
check debtor's financial situation
determine defaulter's financial situation
judge debtor's financial situation
appraise debtor's financial situation
appraise defaulter's financial situation
assess debtor's financial situation
determine debtor's financial situation
check defaulter's financial situation","Assess the defaulter's pecuniary circumstances by evaluating the personal income and expenses, and the balance sheet which includes the value of the house, bank account, car and other assets.",skills,information skills,analysing and evaluating information and data,analysing financial and economic data,1370,assess debtor's financial situation,"assess debtor's financial situation : assess the defaulter's pecuniary circumstances by evaluating the personal income and expenses, and the balance sheet which includes the value of the house, bank account, car and other assets."
591,http://data.europa.eu/esco/skill/367c240d-5f34-423a-86b1-866ad27206ea,digitise documents,"scan documents
digitize  documents","Load analog documents by converting them into a digital format, using specialised hardware and software.",skills,working with computers,accessing and analysing digital data,"managing, gathering and storing digital data",1371,digitise documents,"digitise documents : load analog documents by converting them into a digital format, using specialised hardware and software."
594,http://data.europa.eu/esco/skill/36f3b02f-4511-4be9-a257-94f53513aa84,develop fish health and welfare management plans,"writing fish health and welfare management plans
developing fish health and welfare management plans
develop fish health and welfare management plans
fish health and welfare management plans developing
fish health and welfare management plan writing
fish health and welfare management plan developing
write fish health and welfare management plans
fish health and welfare management plans writing","Develop a plan which lists risks from outdoor factors, such as predators, and pests.",skills,management skills,developing objectives and strategies,developing operational policies and procedures,1372,develop fish health and welfare management plans,"develop fish health and welfare management plans : develop a plan which lists risks from outdoor factors, such as predators, and pests."
595,http://data.europa.eu/esco/skill/36ff57b0-637d-4a83-a0e8-d14f86f9f078,analyse scientific data,"analyse science data
review scientific data
study scientific data
scrutinize
analyze  scientific data
analysing scientific data
examine scientific data
survey scientific data",Collect and analyse scientific data resulting from research. Interpret these data according to certain standards and viewpoints in order to comment on it.,skills,information skills,analysing and evaluating information and data,analysing scientific and medical data,1373,analyse scientific data,analyse scientific data : collect and analyse scientific data resulting from research. interpret these data according to certain standards and viewpoints in order to comment on it.
599,http://data.europa.eu/esco/skill/3727f0d3-da1b-4ce3-a9cb-efe6130fe41f,assess contamination,"analyse contamination
contamination assessing
assess contamination
analysing contamination
assessing contamination
contamination analysing",Analyse evidence of contamination. Advise on how to decontaminate.,skills,information skills,analysing and evaluating information and data,assessing land or real estate,1374,assess contamination,assess contamination : analyse evidence of contamination. advise on how to decontaminate.
600,http://data.europa.eu/esco/skill/37520413-563e-4d99-a14c-1c6dca3cf833,create manufacturing guidelines,"creating manufacturing guidelines
create manufacturing guideline
develop manufacturing guidelines
create manufacturing guidelines
creating manufacturing guideline
draft manufacturing guidelines
draw up manufacturing guidelines prepare manufacturing guidelines
define manufacturing guidelines",Draft procedures and guidelines to ensure that government and industry regulations are met by manufacturers in both international and domestic markets.,skills,management skills,developing objectives and strategies,developing operational policies and procedures,1375,create manufacturing guidelines,create manufacturing guidelines : draft procedures and guidelines to ensure that government and industry regulations are met by manufacturers in both international and domestic markets.
601,http://data.europa.eu/esco/skill/37a438f3-e28c-4e32-83c5-299f047c1dc9,apply tools for content development,apply tools for content development,"Use specialised content development tools such as content and terminology management systems, translation memory systems, language checker and editors to generate, compile and transform content according to specified standards.",skills,working with computers,"using digital tools for collaboration, content creation and problem solving",using digital tools for collaboration and productivity,1376,apply tools for content development,"apply tools for content development : use specialised content development tools such as content and terminology management systems, translation memory systems, language checker and editors to generate, compile and transform content according to specified standards."
602,http://data.europa.eu/esco/skill/37bc4dc0-1233-4008-98db-1116d0c1cfcc,define security policies,define security policies,"Design and execute a written set of rules and policies that have the aim of securing an organisation concerning constraints on behaviour between stakeholders, protective mechanical constraints and data-access constraints.",skills,management skills,developing objectives and strategies,developing operational policies and procedures,1377,define security policies,"define security policies : design and execute a written set of rules and policies that have the aim of securing an organisation concerning constraints on behaviour between stakeholders, protective mechanical constraints and data-access constraints."
603,http://data.europa.eu/esco/skill/382c11ed-20d5-4ae7-b60e-15fec527fa6c,apply statistical analysis techniques,"apply statistical analysis techniques
apply numerical analysis to data","Use models (descriptive or inferential statistics) and techniques (data mining or machine learning) for statistical analysis and ICT tools to analyse data, uncover correlations and forecast trends.",skills,information skills,analysing and evaluating information and data,analysing and evaluating information and data,1378,apply statistical analysis techniques,"apply statistical analysis techniques : use models (descriptive or inferential statistics) and techniques (data mining or machine learning) for statistical analysis and ict tools to analyse data, uncover correlations and forecast trends."
605,http://data.europa.eu/esco/skill/3859901a-e2b4-446a-b2ee-fd32f6d9db6f,contribute to high level health strategic decisions,"partake in health-related decision making at high level
participate in health-related decision making at high level
contribute to strategic health decisions at high level
take part in health-related decision-making at high level
contribute to high level health strategic decisions
contribute to high-level health-strategic decisions","Contribute to decision-making at clinical, management and policy level, such as the allocation of health funds.",skills,management skills,making decisions,making decisions,1379,contribute to high level health strategic decisions,"contribute to high level health strategic decisions : contribute to decision-making at clinical, management and policy level, such as the allocation of health funds."
608,http://data.europa.eu/esco/skill/38716afc-a93b-44ab-96cc-2ecf67edcf32,do cloud refactoring,refactoring,"Optimize application to best use cloud services and features, migrate existing application code to run on cloud infrastructure.",skills,working with computers,programming computer systems,programming computer systems,1380,do cloud refactoring,"do cloud refactoring : optimize application to best use cloud services and features, migrate existing application code to run on cloud infrastructure."
610,http://data.europa.eu/esco/skill/39020c4b-62b0-40f3-9d63-6228dbd6f3c3,identify sources on potential target communities for art,"locate sources on potential target communities for art
identify sources on potential target communities for art
identifying sources on potential target communities for art
find sources on potential target communities for art",Identify relevant sources of information relating to a potential community you could work with.,skills,management skills,developing objectives and strategies,identifying opportunities,1381,identify sources on potential target communities for art,identify sources on potential target communities for art : identify relevant sources of information relating to a potential community you could work with.
612,http://data.europa.eu/esco/skill/39531b63-5c06-432f-81e3-15b551ae1310,enforce company values,"enforce company values
enforcing company values
implement company values
enforcing a companies values
enforce a companies values
impose company values
carry out company values
apply company values","Implement and monitor the values and ethical principles of the company, throughout the chain stores under its supervision.",skills,management skills,leading and motivating,leading and motivating,1382,enforce company values,"enforce company values : implement and monitor the values and ethical principles of the company, throughout the chain stores under its supervision."
613,http://data.europa.eu/esco/skill/395ace35-e463-4dc7-8181-c2dd43885107,perform a feasibility study on heat pumps,"carry out feasibility study on heat pumps
do a feasibility study on heat pumps","Perform the evaluation and assessment of the potential of a heat pump system. Realise a standardised study to determine costs and restrictions, and conduct research to support the process of decision making.",skills,information skills,analysing and evaluating information and data,analysing business operations,1383,perform a feasibility study on heat pumps,"perform a feasibility study on heat pumps : perform the evaluation and assessment of the potential of a heat pump system. realise a standardised study to determine costs and restrictions, and conduct research to support the process of decision making."
615,http://data.europa.eu/esco/skill/398304c5-6073-4968-afc7-394fbd837d74,measure effectiveness of the service provided,"measure the quality of the service provided
measure effectiveness of the service provided
measure effectiveness of services provided
measure effectiveness of the services provided
develop recommendations for improving quality","Use a problem-solving approach to develop and measure recommendations for improving the quality of professional practice in increasingly unpredictable contexts, contributing to change and development within the profession or service at a local, regional or national level.",skills,information skills,analysing and evaluating information and data,analysing business operations,1384,measure effectiveness of the service provided,"measure effectiveness of the service provided : use a problem-solving approach to develop and measure recommendations for improving the quality of professional practice in increasingly unpredictable contexts, contributing to change and development within the profession or service at a local, regional or national level."
617,http://data.europa.eu/esco/skill/3984527c-3a61-460f-8089-a8473b92b515,evaluate information in the field of veterinary nursing,"evaluate information in fields of veterinary nursing
evaluate information in the field of veterinary nursing
understand and utilize research findings in veterinary nursing
understand and utilise research findings in veterinary nursing
evaluate research findings in veterinary nursing
evaluate information in veterinary nursing field","Be able to read, understand and utilise the most current research available to justify decisions based on best practice.",skills,information skills,analysing and evaluating information and data,analysing scientific and medical data,1385,evaluate information in the field of veterinary nursing,"evaluate information in the field of veterinary nursing : be able to read, understand and utilise the most current research available to justify decisions based on best practice."
620,http://data.europa.eu/esco/skill/398b4b25-fb61-4003-9293-50914d8bfcba,run a media server,"carry out planned installation of media system
run a media server
operate a media server
run a server for the media
running media servers",Set up and run a media server.,skills,working with computers,setting up and protecting computer systems,setting up computer systems,1386,run a media server,run a media server : set up and run a media server.
621,http://data.europa.eu/esco/skill/39e71107-3aa9-41a0-809c-edea477c968f,conduct land surveys,"conducting of land surveys
conduct land surveys
conducting land surveys
carry out surveys
use land surveying equipment
land survey conduct
conduct of land surveys
conduct surveys
carry out land surveys","Conduct surveys to determine the location and features of natural and man-made structures, on surface level as well as underground and underwater. Operate electronic distance-measuring equipment and digital measuring instruments.",skills,information skills,analysing and evaluating information and data,assessing land or real estate,1387,conduct land surveys,"conduct land surveys : conduct surveys to determine the location and features of natural and man-made structures, on surface level as well as underground and underwater. operate electronic distance-measuring equipment and digital measuring instruments."
622,http://data.europa.eu/esco/skill/3a2d5b45-56e4-4f5a-a55a-4a4a65afdc43,machine learning,ML,"The principles, methods and algorithms of machine learning, a subfield of artificial intelligence. Common machine learning models such as supervised or unsupervised models, semi- supervised models and reinforcement learning models.",knowledge,information and communication technologies (icts),information and communication technologies (icts),information and communication technologies not elsewhere classified,1388,machine learning,"machine learning : the principles, methods and algorithms of machine learning, a subfield of artificial intelligence. common machine learning models such as supervised or unsupervised models, semi- supervised models and reinforcement learning models."
624,http://data.europa.eu/esco/skill/3a33cec3-4b44-471a-8864-5cc8567a8b1f,CADD software,"computer-aided design and drafting software
CADD softwares
CADD software
CADD software specifications and operations",The computer-aided design and drafting (CADD) is the use of computer technology for design and design documentation. CAD software replaces manual drafting with an automated process.,knowledge,information and communication technologies (icts),information and communication technologies (icts),software and applications development and analysis,1389,CADD software,CADD software : the computer-aided design and drafting (cadd) is the use of computer technology for design and design documentation. cad software replaces manual drafting with an automated process.
626,http://data.europa.eu/esco/skill/3a55c908-154f-4739-a8d7-cce034cc8e27,develop alternative mining methods,"alternative mining method development
developing alternative mining methods
implementing of new mining methods
new mining methods implementation
develop alternative mining methods
implementing new mining methods
implement new mining methods
developing of alternative mining methods
development of alternative mining methods",Develop new mine development methods and procedures to maximise mine performance; ensure compliance to company standards and industrial regulations and requirements.,skills,management skills,developing objectives and strategies,developing operational policies and procedures,1390,develop alternative mining methods,develop alternative mining methods : develop new mine development methods and procedures to maximise mine performance; ensure compliance to company standards and industrial regulations and requirements.
627,http://data.europa.eu/esco/skill/3a585818-03f1-434c-b41b-9d3c4ceedfaa,analyse call performance trends,"investigate  call performance trends
scrutinise  call performance trends
analyse call performance trend
analyze  call performance trends
search  call performance trends
test  call performance trends
analysis of call performance trends
analysing call performance trends",Analyse call quality and performance trends. Provide recommendations for future improvement.,skills,information skills,analysing and evaluating information and data,analysing business operations,1391,analyse call performance trends,analyse call performance trends : analyse call quality and performance trends. provide recommendations for future improvement.
629,http://data.europa.eu/esco/skill/3a876d1c-3dd5-45ed-9a27-47cdbee46ce7,ensure information transparency,"provide information openness
provide information transparency
establish information transparency
secure information transparency
establish information openness
assure information openness
assure information transparency
ensure information transparency
secure information openness","Ensure that required or requested information is provided clearly and completely, in a manner which does not explicitly withhold information, to the public or requesting parties.",skills,information skills,managing information,managing information,1392,ensure information transparency,"ensure information transparency : ensure that required or requested information is provided clearly and completely, in a manner which does not explicitly withhold information, to the public or requesting parties."
631,http://data.europa.eu/esco/skill/3ad4d492-6fae-47b3-b72a-9a7c1c17da6e,perform financial analysis on price strategies,"undertake financial analysis on price strategies
perform financial analysis on a price strategy
complete financial analysis on price strategies
implement financial analysis on price strategies
performing a financial analysis on price strategies
perform a financial analysis on price strategies
perform financial analysis on price strategies",Make up a thorough financial analysis for a business. Monitor pricing actions and strategies.,skills,information skills,analysing and evaluating information and data,analysing financial and economic data,1393,perform financial analysis on price strategies,perform financial analysis on price strategies : make up a thorough financial analysis for a business. monitor pricing actions and strategies.
632,http://data.europa.eu/esco/skill/3af687cb-8c7a-46ea-a730-32dbaed040c6,Oracle Data Integrator,"Oracle Data Integrator
ODI","The computer program Oracle Data Integrator is a tool for integration of information from multiple applications, created and maintained by organisations, into one consistent and transparent data structure, developed by the software company Oracle.",knowledge,information and communication technologies (icts),information and communication technologies (icts),database and network design and administration,1394,Oracle Data Integrator,"Oracle Data Integrator : the computer program oracle data integrator is a tool for integration of information from multiple applications, created and maintained by organisations, into one consistent and transparent data structure, developed by the software company oracle."
634,http://data.europa.eu/esco/skill/3b660a83-91c3-4c9d-8f82-2d306777a42f,evaluate education programmes,"check education programmes
assess education programmes
audit teaching and training programmes
check teaching and training programmes
evaluate education programs
inspect education programmes
audit education programmes
assess teaching and training programmes
inspect teaching and training programmes",Evaluate ongoing training programmes and advise on potential optimisation.,skills,information skills,analysing and evaluating information and data,"evaluating systems, programmes, equipment and products",1395,evaluate education programmes,evaluate education programmes : evaluate ongoing training programmes and advise on potential optimisation.
635,http://data.europa.eu/esco/skill/3bb6f78f-24f3-4799-b247-91a0c4bf5d81,analyse call centre activities,"analyze  call center  activities
analysis of call centre activities
test call centre activities
scrutinise call centre activities
investigate call centre activities
analysing call centre activities
analyse call centre activity
search call centre activities","Research data such as call time, waiting time for customers and review company targets to seek measures to improve service level and customer satisfaction. ",skills,information skills,analysing and evaluating information and data,analysing business operations,1396,analyse call centre activities,"analyse call centre activities : research data such as call time, waiting time for customers and review company targets to seek measures to improve service level and customer satisfaction. "
637,http://data.europa.eu/esco/skill/3be79ccc-a455-49b9-8c65-55c50071ba5b,principles of distributed ledger technology,,"The distributed ledger theories, applied principles, architectures and systems, such as decentralization, consensus mechanisms, smart contracts, trust, etc.",knowledge,information and communication technologies (icts),information and communication technologies (icts),information and communication technologies not elsewhere classified,1397,principles of distributed ledger technology,"principles of distributed ledger technology : the distributed ledger theories, applied principles, architectures and systems, such as decentralization, consensus mechanisms, smart contracts, trust, etc."
638,http://data.europa.eu/esco/skill/3bf7e0ee-2580-41e8-924d-9d504dc98546,manage mine site data,"collect mine spatial data
collecting spatial data
managing mine site data
collect spatial data
manage site data
managing of mine site data
management of mine site data
mine site data management
manage mine site data
managing site data
collecting mine spatial data","Capture, record and validate spatial data for the mine site.",skills,information skills,processing information,gathering information from physical or electronic sources,1398,manage mine site data,"manage mine site data : capture, record and validate spatial data for the mine site."
642,http://data.europa.eu/esco/skill/3c134a08-521f-489d-9ff0-d84fcdc963eb,create SCORM packages,create SCORM packages,Develop educational packages for e-learning platforms using the Sharable Content Object Reference Model (SCORM) standard.,skills,management skills,developing objectives and strategies,developing educational programmes,1399,create SCORM packages,create SCORM packages : develop educational packages for e-learning platforms using the sharable content object reference model (scorm) standard.
643,http://data.europa.eu/esco/skill/3c1af34b-4562-4c39-a30e-0812b84a147e,use specialised design software,"utilize specialised design software
use specialized  design software
using specialised design software
work with specialised design software",Developing new designs mastering specialised software.,skills,working with computers,"using digital tools for collaboration, content creation and problem solving",using computer aided design and drawing tools,1400,use specialised design software,use specialised design software : developing new designs mastering specialised software.
644,http://data.europa.eu/esco/skill/3c2e6f38-42c1-46ec-b782-5854b2db330d,blockchain openness,"hybrid blockchain
public blockchain
permissioned blockchain
private blockchain
permissionless blockchain","The different levels of openness of a blockchain, their differences, and their advantages and disadvantages. Examples are permissionless, permissioned, and hybrid blockchains",knowledge,information and communication technologies (icts),information and communication technologies (icts),software and applications development and analysis,1401,blockchain openness,"blockchain openness : the different levels of openness of a blockchain, their differences, and their advantages and disadvantages. examples are permissionless, permissioned, and hybrid blockchains"
645,http://data.europa.eu/esco/skill/3c4c3fa1-d638-42df-8e98-2a38021da6f9,use software for data preservation,"preserve digital evidence
use software for data preservation",Utilise specialised applications and software to collect and preserve digital information.,skills,working with computers,accessing and analysing digital data,"managing, gathering and storing digital data",1402,use software for data preservation,use software for data preservation : utilise specialised applications and software to collect and preserve digital information.
649,http://data.europa.eu/esco/skill/3c5b51d9-52c4-4f38-9c1b-3cdebe38120f,implement risk management in procurement,,Identify the different types of risks in public procurement processes and apply mitigation measure and internal control and audit processes. Adopt a proactive approach to protect the interests of the organisation and the public good.,skills,information skills,analysing and evaluating information and data,performing risk analysis and management,1403,implement risk management in procurement,implement risk management in procurement : identify the different types of risks in public procurement processes and apply mitigation measure and internal control and audit processes. adopt a proactive approach to protect the interests of the organisation and the public good.
650,http://data.europa.eu/esco/skill/3c6fe585-7d12-4315-b579-e30c042088ce,use computer-aided engineering systems,"use computer-aided engineering systems
operate computer-aided engineering systems
work with CAE systems
apply computer-aided engineering systems
use a CAE system
utilise computer-aided engineering systems
deal with CAE systems
use CAE systems
use a computer-aided engineering system
employ CAE systems",Use computer-aided engineering software to conduct stress analyses on engineering designs.,skills,working with computers,"using digital tools for collaboration, content creation and problem solving",using computer aided design and drawing tools,1404,use computer-aided engineering systems,use computer-aided engineering systems : use computer-aided engineering software to conduct stress analyses on engineering designs.
651,http://data.europa.eu/esco/skill/3c748b49-fe85-42f6-b62d-b877bc8edb29,observe celestial objects,"observe celestial object
observe celestial objects
see astral bodies
observing celestial objects
view celestial bodies","Study the relative positions and movements of stars and planets, by using and interpreting data provided by specialised software and publications such as ephemeris.",skills,information skills,analysing and evaluating information and data,analysing scientific and medical data,1405,observe celestial objects,"observe celestial objects : study the relative positions and movements of stars and planets, by using and interpreting data provided by specialised software and publications such as ephemeris."
652,http://data.europa.eu/esco/skill/3c834f6e-523a-49ee-8ed1-e073e28ae6fe,develop communications strategies,"develop communications strategies
write communications strategies
developing communications strategies
compile communications strategies
define communications strategies
develop communications strategy
draw up communications strategies
developing communications strategy
draft communications strategies
prepare communications strategies","Manage or contribute to the conception and implementation of an organisation's internal and external communications plans and presentation, including its online presence.",skills,management skills,developing objectives and strategies,developing operational policies and procedures,1406,develop communications strategies,"develop communications strategies : manage or contribute to the conception and implementation of an organisation's internal and external communications plans and presentation, including its online presence."
653,http://data.europa.eu/esco/skill/3cb68bb2-66fc-495a-af82-012338a9402b,interpret business information,"interpret business information
interpret business info
interpreting business information
study business information
read and understand business information","Retrieve and analyse different kinds of information with regards to the management of a business in order to draw conclusions on projects, strategies, and developments.",skills,information skills,analysing and evaluating information and data,analysing business operations,1407,interpret business information,"interpret business information : retrieve and analyse different kinds of information with regards to the management of a business in order to draw conclusions on projects, strategies, and developments."
655,http://data.europa.eu/esco/skill/3cc54d4c-294c-4672-81e6-f73116a11935,perform clinical research in radiography,"carry out clinical research in radiography
do clinical research in radiography
perform clinical research in the field of radiography
perform clinical research in radiography","Perform clinical research in the field of radiography, ranging from recruitment to trials through research studies, evaluating newer technologies and techniques as part of providing evidence based practice.",skills,information skills,"conducting studies, investigations and examinations",conducting academic or market research,1408,perform clinical research in radiography,"perform clinical research in radiography : perform clinical research in the field of radiography, ranging from recruitment to trials through research studies, evaluating newer technologies and techniques as part of providing evidence based practice."
657,http://data.europa.eu/esco/skill/3cd0ee1e-73b1-487e-b186-2e0c4fc3720f,assess telecommunication infrastructure issues,assess telecommunication infrastructure issues,"Evaluate problems in telecommunication infrastructure by using specialised methods, applications and tools to find weaknesses and stress points in a network and elements of the infrastructure regarding aspects such as electronics, power supply and temperature.",skills,information skills,analysing and evaluating information and data,"evaluating systems, programmes, equipment and products",1409,assess telecommunication infrastructure issues,"assess telecommunication infrastructure issues : evaluate problems in telecommunication infrastructure by using specialised methods, applications and tools to find weaknesses and stress points in a network and elements of the infrastructure regarding aspects such as electronics, power supply and temperature."
658,http://data.europa.eu/esco/skill/3cd569a2-4f88-4c1e-9995-8dce8c5e51a7,JavaScript,"Client-side JavaScript
Mocha
Escript
JavaScript 1.7
Live script
CSJS
JavaScript 1.6
JavaScripts
JavaScript
Server-side JavaScript
Java script
Live-script
Live Script
Live-Script
Javascript","The techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in JavaScript.",knowledge,information and communication technologies (icts),information and communication technologies (icts),software and applications development and analysis,1410,JavaScript,"JavaScript : the techniques and principles of software development, such as analysis, algorithms, coding, testing and compiling of programming paradigms in javascript."
661,http://data.europa.eu/esco/skill/3ce1fe19-7f9e-4070-941d-651673a5693b,decision support systems,"decision support systems
decision-making tools
decision support software
decision support matrix",The ICT systems that can be used to support business or organisational decision making.,knowledge,information and communication technologies (icts),information and communication technologies (icts),computer use,1411,decision support systems,decision support systems : the ict systems that can be used to support business or organisational decision making.
